Command
Matthew 4:17
Matthew 4:19
Matthew 5:11-12
Matthew 5:16
Matthew 5:17-19
Matthew 5:23-25
Matthew 5:27-30
Matthew 5:33-37
Matthew 5:38-42
Matthew 5:44-48
Matthew 6:1-18
Matthew 6:19-21
Matthew 6:25-26
Matthew 6:33
Matthew 7:1-3
Matthew 7:6
Matthew 7:7-8
Matthew 7:12
Matthew 7:13-14
Matthew 7:15-16
Matthew 8:22
Matthew 9:37-38
Matthew 10:16
Matthew 10:28
Matthew 10:38
Matthew 11:15
Matthew 11:28-30
Matthew 13:9
Matthew 13:43
Matthew 15:4
Matthew 16:6
Matthew 16:11-12
Matthew 18:10
Matthew 18:15-17
Matthew 18:21-22
Matthew 19:6
Matthew 19:9
Matthew 20:26-28
Matthew 21:12-13
Matthew 21:21-22
Matthew 22:19-21
Matthew 22:37-38
Matthew 22:39-40
Matthew 24:42-44
Matthew 26:26-28
Matthew 26:40-41
Matthew 28:19-20
Mark 4:23
Mark 8:34
Mark 11:17
Mark 16:15
Luke 9:23-25
Luke 12:15
Luke 13:3
Luke 14:12-14
Luke 14:35
Luke 24:49
John 3:5-7
John 13:34
John 14:15
John 14:27
John 15:7-8
John 15:12-14
John 15:17
John 16:33
John 21:15-16
